,album,artists,duration_ms,id,name,popularity,artist_id,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics,themes
0,"{'album_type': 'album', 'name': 'Dare', 'release_date': '2016-09-09', 'total_tracks': 10, 'uri': 'spotify:album:6A0wlnsc6rjAi8RSnXNxOR'}",Northeast Party House,233169,3U0obDja5mKtcqPJdWEku3,Calypso Beach,0,500YRyClzP6Z7HtWd1BIje,['australian indie'],0.398,0.678,8,-7.562,0,0.0377,0.0175,0.3,0.129,0.379,122.022,"Only, only for a second now
Only, night will make it real now
Floating, and I can't control myself

Feels like when you were young
Those moments are taking you now
Ohh

Calypso Beach you're holding me
And I'm swimming in circles in circles

...

******* This Lyrics is NOT for Commercial use *******
(1409623598245)","Escape, fleeting youth, surrender, freedom"
1,"{'album_type': 'album', 'name': 'Quiet Ferocity', 'release_date': '2017-07-07', 'total_tracks': 10, 'uri': 'spotify:album:0RSKnjggldZx2NrKSOD913'}",The Jungle Giants,271840,6lVhkY4iqf1GF5z6lu3mlp,Bad Dream,52,6wFwvxJkurQPU2UdeD4qVt,['australian indie'],0.686,0.579,4,-6.104,0,0.0317,0.00177,0.301,0.066,0.319,135.006,"I come alive to the sound of your blast off
And though run I know your love has got me
Huh
I'm running high but I can't get enough of
The way you run my soul in

And if we let up we'll never get up
We'll never live above
And if we let up we'll never get up

You could be my bad dream
You could be my only think about
You could be my nightmare
And you'd still be my love
...

******* This Lyrics is NOT for Commercial use *******
(1409623598245)","Love, exhilaration, addiction, commitment, contradiction"
2,"{'album_type': 'album', 'name': 'Dare', 'release_date': '2016-09-09', 'total_tracks': 10, 'uri': 'spotify:album:6A0wlnsc6rjAi8RSnXNxOR'}",Northeast Party House,256052,169C3YdZTSIHQYEiLOnhLv,For You,0,500YRyClzP6Z7HtWd1BIje,['australian indie'],0.647,0.547,0,-6.719,1,0.028,0.113,0.0243,0.138,0.199,123.023,"In the summer who pays and goes
Found a way made it out
Laughed at each other remember how
Remembered how it is
Went to parties stayed until dawn
We wasted days in bedrooms house
We act like lovers you showed me how
You showed me how to live

Cause I've been waiting
In lonely places
For you
For you
For you

Come on come on come on
Come on come on come on
I've been waiting for you

...

******* This Lyrics is NOT for Commercial use *******
(1409623598245)","Nostalgia, friendship, love, longing, anticipation."
3,"{'album_type': 'single', 'name': 'Money', 'release_date': '2019-02-01', 'total_tracks': 1, 'uri': 'spotify:album:0I2PCfEg6gVwLrzo4pqetY'}",Lime Cordiale,238180,3TagnFgHBtDptVaDGuzH3a,Money,45,6yrtCy4XJHXM6tczo4RlTs,['australian surf rock'],0.637,0.605,4,-8.681,1,0.0325,0.264,0.228,0.231,0.436,110.077,"I don't want to know all the things that you've lied about
I'll find better things to do, then get so fucking down about it
I've got broken bones but which ones, oh who knows?
I won't sit here in the dark and cold, getting old and mad without it

It's the end of the evening and what is left?
You're looking around for a lover but not for sex
Can be a fool if you want to cos they don't care
As long as there's a dollar that you can spend

Money
It's written on your face now
All you want is money
But that ain't what I make now
...

******* This Lyrics is NOT for Commercial use *******
(1409623598245)","Deception, resilience, self-fulfillment, detachment, money."
4,"{'album_type': 'album', 'name': 'Any Given Weekend', 'release_date': '2014-05-16', 'total_tracks': 10, 'uri': 'spotify:album:7hneBMZk8fkf0fQ4eO1Vq9'}",Northeast Party House,248418,398LeBTx6SFocnICsrMdFW,The Haunted,0,500YRyClzP6Z7HtWd1BIje,['australian indie'],0.802,0.821,6,-4.56,0,0.0432,0.0299,0.131,0.0706,0.757,123.0,"HIS IS JUST ANOTHER SENSE
A way for you to make your mind up
While we stay, while we stay
While we stay, while we stay

THIS HELPS FIND THE PATH
Before you make, you make your mind up
Take a chance, take a chance
Take a chance, take a chance

We all stay too long on the wrong side
We all stay too long on the wrong side
We all stay too long on the wrong side
We all stay too long, too long

...

******* This Lyrics is NOT for Commercial use *******
(1409623598245)","1. Decision-making and self-discovery.
2. Taking chances and finding direction.
3. Staying stuck on the wrong path.
4. A reminder not to linger.
5. Unclear due to disclaimer."
5,"{'album_type': 'album', 'name': 'Quiet Ferocity', 'release_date': '2017-07-07', 'total_tracks': 10, 'uri': 'spotify:album:0RSKnjggldZx2NrKSOD913'}",The Jungle Giants,222786,290xSzR8Ee9fm82poMg4od,Used to Be in Love,66,6wFwvxJkurQPU2UdeD4qVt,['australian indie'],0.83,0.631,11,-5.238,0,0.0313,0.0022,0.0359,0.0539,0.877,128.013,"You could be my little dream
I'll read you like a magazine
While we're bored and while we're young
The viewing is easy

But I was at the first to come
To realize what I hadn't done
Something I caught in a gun
For something so easy

Oh, my heart stitched love

Used to be in love but you ran off
Used to get along but you ran away
Frozen to the feeling when you backed up
...

******* This Lyrics is NOT for Commercial use *******
(1409623598245)","Dreams, exploration, youth, self-discovery, love."
6,"{'album_type': 'single', 'name': 'Do It Like You', 'release_date': '2018-11-01', 'total_tracks': 1, 'uri': 'spotify:album:4PKH86wn7Gw4iel2WD564k'}",Crooked Colours,190624,5h1Gi50T9QxVfzvIF8vciC,Do It Like You,40,0aA1GTrIMutjIh4GlPPUVN,['vapor soul'],0.758,0.793,4,-5.05,0,0.0327,0.0117,0.139,0.108,0.279,122.95,"I never knew nobody that could change me, make me new
I never knew nobody that could break me, like you do
I never knew nobody to rename me, displace me, oh no
I never knew nobody that could chain me, erase me
Like you do

I never thought that somethin' more awaits me
(Do it like, do it like)
I never knew that someday love would take me
(Do it like, do it like)

I never knew nobody who could do it like you
I never knew nobody who could do it like you
(Do it like, do it like)
...

******* This Lyrics is NOT for Commercial use *******
(1409623598245)","Transformation, vulnerability, dependency, liberation, love"
7,"{'album_type': 'single', 'name': 'Not That Easy', 'release_date': '2015-10-09', 'total_tracks': 1, 'uri': 'spotify:album:1pGCIXJQu3aPDDwAZk9sR3'}",Lime Cordiale,221333,6InKbhfioifh4w1IhOIXmJ,Not That Easy,54,6yrtCy4XJHXM6tczo4RlTs,['australian surf rock'],0.598,0.779,5,-6.218,0,0.0476,0.00168,0.000365,0.209,0.816,87.99,"I'm taking back the old me
I'm pulling him out of the dark
You're making out like you want me
But all you wanna do is talk

You're taking down your old TV
Float around amongst the stars
You don't know who you want to be
But I don't want to be a part

Tell me what you want, and if I'm wrong
So I can keep on running
Running, running, running
So I can keep on running

Take back my own life
Back down 'cause you're running me dry
I know, I know, it's not that easy
It's not that easy

Take back my own life
Back down 'cause you're running me dry
I know, I know, it's not that easy
It's not that easy
...

******* This Lyrics is NOT for Commercial use *******
(1409623598245)","Personal growth, reclaiming independence, unfulfilling relationships"
8,"{'album_type': 'single', 'name': 'Client Liaison', 'release_date': '2014-09-05', 'total_tracks': 6, 'uri': 'spotify:album:4hVgANBVAWqCK6MoDTdZcv'}",Client Liaison,242785,2feaQfOvwyW5nP1biWHCPN,Pretty Lovers,0,5TjlxSJvfrD5I2PWaEh4jZ,['australian indie'],0.753,0.885,11,-3.979,0,0.0433,0.0405,0.0043,0.0506,0.898,123.984,"Taking potions to sleep through the daytime
Waking up to the heat of the night
No horizons no exchanges
We'll get it on with those summertime lights

Pretty lovers pretty lovers
This night is warm so give me your charms
Pretty lovers pretty lovers
This night is ours cause the daylight won't come
The daylight won't come

Breakfast parties and low body visions
...

******* This Lyrics is NOT for Commercial use *******
(1409623598245)","Escape, passion, nighttime, anticipation, temporary"
9,"{'album_type': 'album', 'name': 'Permanent Vacation', 'release_date': '2017-10-13', 'total_tracks': 13, 'uri': 'spotify:album:5YlzKbkGoIIFnBOnYwU3kl'}",Lime Cordiale,227102,2GgheTnANGaxrgZ5oLMK3x,Up In The Air,38,6yrtCy4XJHXM6tczo4RlTs,['australian surf rock'],0.75,0.696,11,-6.187,0,0.0341,0.0422,0.0102,0.0675,0.943,132.994,"Bump your head on a bed
Bad moods in the morning
Blank stare
Unaware that your job is boring

Can't save the world by saving
On your credit rating
Coffee coupons waiting
You're a regular

You're a fool for the shit
Is that how you want it?

I don't know where I'm going
But I know it's up in the air
And I love never knowing
When I'm up, up, up in the air
I can tell you have trouble with it
Making plans to be unplanned
...

******* This Lyrics is NOT for Commercial use *******
(1409623598245)","Monotony, dissatisfaction, escape, unpredictability, rebellion."
